id,meta.status,meta.reviewedBy,meta.changelog,meta.parentId,meta.localId,isPartOfCommunity,label.shortForm.de,label.shortForm.en,label.longForm.de,label.longForm.en,description.de,meta.organizationalLevel,meta.befideOrganizationCategories,links.homepage.de,links.homepage.en,links.rorId,location.country.code,location.city,location.lat,location.lng
/cern,01 in preparation,,,,cern,true,CERN,CERN,Europäische Organisation für Kernforschung,European Organization for Nuclear Research,,01 formal-organisation,international,http://home.web.cern.ch/,http://home.web.cern.ch/,https://ror.org/01ggx4157,CH,Genf,46.202220,6.145690
/cfel,01 in preparation,,,,cfel,true,CFEL,CFEL,Center for Free-Electron Laser Science,Center for Free-Electron Laser Science,,01 formal-organisation,"hgf,university,mpg",https://www.cfel.de/,https://www.cfel.de/,https://ror.org/04fme8709,DE,Hamburg,53.550730,9.993020
/desy,01 in preparation,,,,desy,true,DESY,DESY,Deutsches Elektronen-Synchrotron DESY,Deutsches Elektronen-Synchrotron DESY,,01 formal-organisation,hgf,http://www.desy.de/index_eng.html,http://www.desy.de/index_eng.html,https://ror.org/01js2sh04,DE,Hamburg,53.550730,9.993020
/eu-xfel,01 in preparation,,,,eu-xfel,true,eu.XFEL,eu.XFEL,European XFEL,European X-Ray Free-Electron Laser Facility,,01 formal-organisation,international,https://www.xfel.eu,https://www.xfel.eu,https://ror.org/01wp2jz98,DE,Schenefeld,54.050000,9.483330
/fair,01 in preparation,,,,fair,true,FAIR,FAIR,Internationale Beschleuniger-Anlage zur Forschung mit Antiprotonen und Ionen,Facility for Antiproton and Ion Research,,01 formal-organisation,international,https://fair-center.de,https://fair-center.eu/,https://ror.org/053veeq82,DE,Darmstadt,49.931389,8.679167
/fep,01 in preparation,,,,fep,true,FEP,FEP,Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik FEP,Fraunhofer Institute for Electron Beam and Plasma Technology FEP,,01 formal-organisation,fraunhofer,https://www.fep.fraunhofer.de,https://www.fep.fraunhofer.de,https://ror.org/03vvewn46,DE,Dresden,51.029990,13.782143
/fz-juelich,01 in preparation,,,,fz-juelich,true,FZJ,FZJ,Forschungszentrum Jülich,Jülich Research Centre,,01 formal-organisation,hgf,https://www.fz-juelich.de,https://www.fz-juelich.de,https://ror.org/02nv7yv05,DE,Jülich,50.921490,6.362670
/gsi,01 in preparation,,,,gsi,true,GSI,GSI,GSI Helmholtzzentrum für Schwerionenforschung,GSI Helmholtz Centre for Heavy Ion Research,,01 formal-organisation,hgf,https://www.gsi.de/start/aktuelles.htm,https://www.gsi.de/start/aktuelles.htm,https://ror.org/02k8cbn47,DE,Darmstadt,49.871670,8.650270
/hij,01 in preparation,,,,hij,true,HIJ,HIJ,Helmholtz-Institut Jena,Helmholtz Institute Jena,,01 formal-organisation,"university,hgf",https://www.hi-jena.de/en/,https://www.hi-jena.de/en/,https://ror.org/02rzw6h69,DE,Jena,50.934556,11.580699
/him,01 in preparation,,,,him,true,HIM,HIM,Helmholtz-Institut Mainz,Helmholtz Institute Mainz,,01 formal-organisation,"university,hgf",https://hi-mainz.de,https://hi-mainz.de,https://ror.org/024thra40,DE,Mainz,49.992315,8.238344
