id,meta.status,meta.reviewedBy,meta.changelog,meta.parentId,meta.localId,label.shortForm.de,label.shortForm.en,label.longForm.de,label.longForm.en,description.de,head,links.homepage.de,links.homepage.en,headLiteral,partOf,peopleCount.uniqueProfessors.physicist.female,peopleCount.uniqueProfessors.physicist.male,peopleCount.uniqueProfessors.physicist.other,peopleCount.uniqueProfessors.engineer.female,peopleCount.uniqueProfessors.engineer.male,peopleCount.uniqueProfessors.engineer.other,peopleCount.uniqueProfessors.other.female,peopleCount.uniqueProfessors.other.male,peopleCount.uniqueProfessors.other.other,peopleCount.uniqueSeniorResearchers.physicist.female,peopleCount.uniqueSeniorResearchers.physicist.male,peopleCount.uniqueSeniorResearchers.physicist.other,peopleCount.uniqueSeniorResearchers.engineer.female,peopleCount.uniqueSeniorResearchers.engineer.male,peopleCount.uniqueSeniorResearchers.engineer.other,peopleCount.uniqueSeniorResearchers.other.female,peopleCount.uniqueSeniorResearchers.other.male,peopleCount.uniqueSeniorResearchers.other.other,peopleCount.uniquePostDocs.physicist.female,peopleCount.uniquePostDocs.physicist.male,peopleCount.uniquePostDocs.physicist.other,peopleCount.uniquePostDocs.engineer.female,peopleCount.uniquePostDocs.engineer.male,peopleCount.uniquePostDocs.engineer.other,peopleCount.uniquePostDocs.other.female,peopleCount.uniquePostDocs.other.male,peopleCount.uniquePostDocs.other.other,peopleCount.uniquePhdStudents.physicist.female,peopleCount.uniquePhdStudents.physicist.male,peopleCount.uniquePhdStudents.physicist.other,peopleCount.uniquePhdStudents.engineer.male,peopleCount.uniquePhdStudents.engineer.other,peopleCount.uniquePhdStudents.other.female,peopleCount.uniquePhdStudents.other.male,peopleCount.uniquePhdStudents.other.other,peopleCount.uniqueMasterStudents.physicist.female,peopleCount.uniqueMasterStudents.physicist.male,peopleCount.uniqueMasterStudents.physicist.other,peopleCount.uniqueMasterStudents.engineer.female,peopleCount.uniqueMasterStudents.engineer.male,peopleCount.uniqueMasterStudents.engineer.other,peopleCount.uniqueMasterStudents.other.female,peopleCount.uniqueMasterStudents.other.male,peopleCount.uniqueMasterStudents.other.other,peopleCount.uniqueBachelorStudents.physicist.female,peopleCount.uniqueBachelorStudents.physicist.male,peopleCount.uniqueBachelorStudents.physicist.other,peopleCount.uniqueBachelorStudents.engineer.female,peopleCount.uniqueBachelorStudents.engineer.male,peopleCount.uniqueBachelorStudents.engineer.other,peopleCount.uniqueBachelorStudents.other.female,peopleCount.uniqueBachelorStudents.other.male,peopleCount.uniqueBachelorStudents.other.other
/cfel/dla,01 in preparation,kärtner.franz-x.,,/cfel,dla,UFOX-DLA,UFOX-DLA,Dielectric Laser Acceleration Team,Dielectric Laser Acceleration Team,,,https://ufox.cfel.de/research/dielectric_laser_accelerators/,https://ufox.cfel.de/research/dielectric_laser_accelerators/,,/cfel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/cfel/ufox/th,01 in preparation,kärtner.franz-x.,,/cfel/ufox,th,UFOX-THz,UFOX-THz,Terahertz Acceleration Team,Terahertz Acceleration Team,,,https://ufox.cfel.de/research/terahertz_acceleration/,https://ufox.cfel.de/research/terahertz_acceleration/,,/cfel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mdi,02 ready for review,leemans.wim,,/desy/m,mdi,DESY-MDI,DESY-MDI,Gruppe Diagnose und Instrumentierung,Diagnostics and Instrumentation Group,,,https://mdi.desy.de/,https://mdi.desy.de/,Kay Wittenburg,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mea,02 ready for review,leemans.wim,,/desy/m,mea,DESY-MEA,DESY-MEA,Maschinen- und Experimenteaufbau,Machine and experiment set-up,,,https://mea.desy.de/,https://mea.desy.de/,Markus Körfer,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mfl,02 ready for review,leemans.wim,,/desy/m,mfl,DESY-MFL,DESY-MFL,FLASH,FLASH,,,https://flash.desy.de/,https://flash.desy.de/,Mathias Vogt,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mhf,02 ready for review,leemans.wim,,/desy/m,mhf,DESY-MHF,DESY-MHF,Hochfrequenztechnik,High-frequency technology,,,https://mhf.desy.de/,https://mhf.desy.de/,Christos Christou,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/min,02 ready for review,leemans.wim,,/desy/m,min,DESY-MIN,DESY-MIN,Injektion,Injection,,,https://min.desy.de/,https://min.desy.de/,Heiko Ehrlichmann,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mkk,02 ready for review,leemans.wim,,/desy/m,mkk,DESY-MKK,DESY-MKK,"Kraft, Kühlung, Klima","Power, Cooling, Climate",,,https://mkk.desy.de/,https://mkk.desy.de/,Nadja von Neuhoff,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mks,02 ready for review,leemans.wim,,/desy/m,mks,DESY-MKS,DESY-MKS,"Kryogenik, Supraleitung","Cryogenics, superconductivity",,,https://mks.desy.de/,https://mks.desy.de/,T. Schnautz,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/desy/m/mls,02 ready for review,leemans.wim,,/desy/m,mls,DESY-MLS,DESY-MLS,Laser für Plasmabeschleuniger,Lasers for plasma accelerators,,,https://mpl.desy.de/,https://mpl.desy.de/,Andreas Maier,/desy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
