id,meta.status,meta.changelog,meta.id,meta.parent,meta.parentId,meta.localId,label.long-form.de,label.longForm.en,label.shortForm.de,description.de,meta.reviewedBy,meta.organizationalLevel,meta.befideOrganizationCategories,links.homepage.de,links.homepage.en,head,headLiteral,peopleCount.uniqueProfessors,peopleCount.uniqueSeniorResearchers,peopleCount.uniquePostDocs,peopleCount.uniquePhdStudents,peopleCount.uniqueWorkingStudents_MSC,peopleCount.uniqueWorkingStudents_BSC
root.cfel.ufox,,,root.cfel.ufox,root.cfel,root.cfel,ufox,Ultrafast Optics and X-rays Group ,Ultrafast Optics and X-rays Group ,UFOX,,kärtner.franz-x.,03 work group cluster,"hgf,university,mpg",https://ufox.cfel.de/,https://ufox.cfel.de/,kärtner.franz-x.,,1,1,0,0,0,0
root.desy.m,02 ready for review,,root.desy.m,root.desy,root.desy,m,Bereich Beschleuniger,Division Accelerators,DESY-M,,leemans.wim,03 work group cluster,hgf,https://www.desy.de/forschung/beschleuniger/index_ger.html,https://www.desy.de/forschung/beschleuniger/index_ger.html,leemans.wim,,-1,-1,-1,-1,-1,-1
root.desy.z-beschleunigerphysik,02 ready for review,,root.desy.z-beschleunigerphysik,root.desy,root.desy,z-beschleunigerphysik,Beschleunigerphysik Zeuthen ,,DESY-Z-BESCHLEUNIGER,,leemans.wim,03 work group cluster,hgf,https://www.desy.de/forschung/beschleuniger/index_ger.html,https://www.desy.de/forschung/beschleuniger/index_ger.html,leemans.wim,,-1,-1,-1,-1,-1,-1
root.fep.eb,,,root.fep.eb,root.fep,root.fep,eb,Elektronenstrahl ,Electron beam,FEP-EB,,,02 intermediate level,fraunhofer,,,,,-1,-1,-1,-1,-1,-1
root.fep.eb.cebst,,,root.fep.eb.cebst,root.fep.eb,root.fep.eb,cebst,Spezielle EB-Systeme und Technologien,Customized EB Systems and Technologies,FEP-CEBST,,,03 work group cluster,fraunhofer,https://www.fep.fraunhofer.de/de/Geschaeftsfelder/EST.html,https://www.fep.fraunhofer.de/en/Geschaeftsfelder/EST.html,,Prof. Dr. Gösta Mattausch,-1,-1,-1,-1,-1,-1
root.fz-juelich.jcns,,,root.fz-juelich.jcns,root.fz-juelich,root.fz-juelich,jcns,Jülich Centre for Neutron Science ,Jülich Centre for Neutron Science ,FZJ-JCNS,,,02 intermediate level,hgf,https://www.fz-juelich.de/de/institute/jcns,https://www.fz-juelich.de/en/institutes/jcns,,,-1,-1,-1,-1,-1,-1
root.fz-juelich.jcns.jcns-2,,,root.fz-juelich.jcns.jcns-2,root.fz-juelich.jcns,root.fz-juelich.jcns,jcns-2,Quantenmaterialien und kollektive Phänomene,Quantum Materials and Collective Phenomena,FZJ-JCNS-2,,,02 intermediate level,hgf,https://www.fz-juelich.de/de/jcns/jcns-2,https://www.fz-juelich.de/en /jcns/jcns-2,,,-1,-1,-1,-1,-1,-1
root.fz-juelich.jcns.jcns-2.hbs,,,root.fz-juelich.jcns.jcns-2.hbs,root.fz-juelich.jcns.jcns-2,root.fz-juelich.jcns.jcns-2,hbs,High Brilliance Neutron Source,High Brilliance Neutron Source,FZJ-HBS,,,03 work group cluster,hgf,https://www.fz-juelich.de/de/jcns/jcns-2/leistungen/high-brilliance-neutron-source,https://www.fz-juelich.de/en/jcns/jcns-2/expertise/high-brilliance-neutron-source,,Paul Zakalek,-1,-1,-1,-1,-1,-1
root.fz-juelich.zea,,,root.fz-juelich.zea,root.fz-juelich,root.fz-juelich,zea,"Zentralinstitut für Engineering, Elektronik und Analytik",Neutron research ,FZJ-ZEA,,,02 intermediate level,hgf,https://www.fz-juelich.de/de/institute/zea,https://www.fz-juelich.de/en/institutes/zea,,,-1,-1,-1,-1,-1,-1
root.fz-juelich.zea.zea-1,,,root.fz-juelich.zea.zea-1,root.fz-juelich.zea,root.fz-juelich.zea,zea-1,Engineering and Technology ,Engineering and Technology ,FZJ-ZEA-1,,,02 intermediate level,hgf,https://www.fz-juelich.de/de/zea/zea-1,https://www.fz-juelich.de/en/zea/zea-1,,,-1,-1,-1,-1,-1,-1
