"id","meta.status","meta.changelog","meta.id","meta.parent","meta.parentId","meta.localId","label.long-form.de","label.longForm.en","label.shortForm.de","description.de","meta.reviewedBy","meta.organizationalLevel","meta.befideOrganizationCategories","links.homepage.de","links.homepage.en","head","headLiteral","peopleCount.uniqueProfessors","peopleCount.uniqueSeniorResearchers","peopleCount.uniquePostDocs","peopleCount.uniquePhdStudents","peopleCount.uniqueWorkingStudents_MSC","peopleCount.uniqueWorkingStudents_BSC"
"root.cfel.dla","01 in preparation",,"root.cfel.dla","root.cfel","root.cfel","dla","Dielectric Laser Acceleration Team","Dielectric Laser Acceleration Team","UFOX-DLA",,"kärtner.franz-x.","05 work group","hgf,university,mpg","https://ufox.cfel.de/research/dielectric_laser_accelerators/","https://ufox.cfel.de/research/dielectric_laser_accelerators/",,,"-1","-1","-1","-1","-1","-1"
"root.cfel.ufox.th","01 in preparation",,"root.cfel.ufox.th","root.cfel.ufox","root.cfel.ufox","th","Terahertz Acceleration Team","Terahertz Acceleration Team","UFOX-THz",,"kärtner.franz-x.","05 work group","hgf,university,mpg","https://ufox.cfel.de/research/terahertz_acceleration/","https://ufox.cfel.de/research/terahertz_acceleration/",,,"-1","-1","-1","-1","-1","-1"
"root.desy.m.mdi","02 ready for review",,"root.desy.m.mdi","root.desy.m","root.desy.m","mdi","Gruppe Diagnose und Instrumentierung",,"DESY-MDI",,"leemans.wim","05 work group","hgf","https://mdi.desy.de/","https://mdi.desy.de/",,"Kay Wittenburg","-1","-1","-1","-1","-1","-1"
"root.desy.m.mea","02 ready for review",,"root.desy.m.mea","root.desy.m","root.desy.m","mea","Maschinen- und Experimenteaufbau",,"DESY-MEA",,"leemans.wim","05 work group","hgf","https://mea.desy.de/","https://mea.desy.de/",,"Markus Körfer","-1","-1","-1","-1","-1","-1"
"root.desy.m.mfl","02 ready for review",,"root.desy.m.mfl","root.desy.m","root.desy.m","mfl","FLASH",,"DESY-MFL",,"leemans.wim","05 work group","hgf","https://flash.desy.de/","https://flash.desy.de/",,"Mathias Vogt","-1","-1","-1","-1","-1","-1"
"root.desy.m.mhf","02 ready for review",,"root.desy.m.mhf","root.desy.m","root.desy.m","mhf","Hochfrequenztechnik",,"DESY-MHF",,"leemans.wim","05 work group","hgf","https://mhf.desy.de/","https://mhf.desy.de/",,"Christos Christou","-1","-1","-1","-1","-1","-1"
"root.desy.m.min","02 ready for review",,"root.desy.m.min","root.desy.m","root.desy.m","min","Injektion",,"DESY-MIN",,"leemans.wim","05 work group","hgf","https://min.desy.de/","https://min.desy.de/",,"Heiko Ehrlichmann","-1","-1","-1","-1","-1","-1"
"root.desy.m.mkk","02 ready for review",,"root.desy.m.mkk","root.desy.m","root.desy.m","mkk","Kraft, Kühlung, Klima",,"DESY-MKK",,"leemans.wim","05 work group","hgf","https://mkk.desy.de/","https://mkk.desy.de/",,"Nadja von Neuhoff","-1","-1","-1","-1","-1","-1"
"root.desy.m.mks","02 ready for review",,"root.desy.m.mks","root.desy.m","root.desy.m","mks","Kryogenik, Supraleitung",,"DESY-MKS",,"leemans.wim","05 work group","hgf","https://mks.desy.de/","https://mks.desy.de/",,"T. Schnautz","-1","-1","-1","-1","-1","-1"
"root.desy.m.mls","02 ready for review",,"root.desy.m.mls","root.desy.m","root.desy.m","mls","Laser für Plasmabeschleuniger",,"DESY-MLS",,"leemans.wim","05 work group","hgf","https://mpl.desy.de/","https://mpl.desy.de/",,"Andreas Maier","-1","-1","-1","-1","-1","-1"
