id,meta.reviewStatus,meta.reviewedBy,meta.reviewLog,label.fullName.de,label.fullName.en,label.acronym.de,label.acronym.en,definition.de,definition.en,isPartOf,isSuccessorOf,acceleratorType,facilityType,facilityTypeParticles,lifeCycle,t0,t1,hasHost,location.country.code,isBmbfFis,primaryApplications,secondaryApplications,link.homepage.de,link.homepage.en
/athena,02: in prereview,,,Helmholtz-ARD Testanlagen für Plasmabeschleunigung,Helmholtz-ARD distributed test facility for plasma acceleration,ATHENA,ATHENA,Helmholtz-ARD verteilte Testanlage für Plasmabeschleunigung,Helmholtz-ARD verteilte Testanlage für Plasmabeschleunigung,,,,,,operation,2018,,,DE,,/accelerator-application/science-application/accelerator-science,,,
/athena/berlinpro,01: in preparation,,,Berliner Energierückgewinnung LINac PROjekt,Berlin Energy Recovery LINac PROject,bERLinPro,bERLinPro,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,/athena,,/accelerator/erl,,electrons,construction,2021,,/hzb,DE,,/accelerator-application/science-application/accelerator-science,,,
/athena/elbe,01: in preparation,,,Supraleitender Linear-Beschleuniger für Elektronen,Supraleitender Linear-beschleuniger für  Elektronen,ELBE,ELBE,Supraleitender Linear-beschleuniger für  Elektronen,Supraleitender Linear-beschleuniger für  Elektronen,/athena,,,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,operation,2004,,/hzdr,DE,,/accelerator-application/science-application/photon-science,,,
/athena/flute,02: in prereview,,,Ferninfrarot Linac- und Test-Experiment,Ferninfrarot Linac- und Test-Experiment,FLUTE,FLUTE,"Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht.","Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht.",/kit-atp,,/accelerator/linac/,,electrons,operation,2021,,/kit,DE,,/accelerator-application/science-application/accelerator-science,,,
/athena/juSPARC,01: in preparation,,,Jülicher Zentrum für kurzgepulste Teilchen und Strahlung,Jülich Short-Pulsed Particle and Radiation Center,JuSPARC,JuSPARC,Laserbasierte Forschungsanlage für die Forschung mit kurz gepulsten Photonen- und Teilchenstrahlen,Laserbasierte Forschungsanlage für die Forschung mit kurz gepulsten Photonen- und Teilchenstrahlen,/athena,,,,,,,,/fz-juelich,DE,,,,,
/athena/sinbad,01: in preparation,,,Kurze innovative Teilchenpakete und Beschleuniger bei DESY,Short INnovative Bunches and Accelerators at DESY,SINBAD,SINBAD,,,/athena,,,,,operation,,,/desy,DE,,/accelerator-application/science-application/accelerator-science,,,
/athena/sinbad/ares,01: in preparation,,,Beschleuniger-Forschungsexperiment bei SINBAD,Accelerator Research Experiment at SINBAD,ARES,ARES,"Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.","Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.",/athena/sinbad,,/accelerator/linac/,,electrons,operation,2020,,/desy,DE,,/accelerator-application/science-application/accelerator-science,,,
/athena/sinbad/axsis,01: in preparation,,,"Attosekunden-Röntgenforschung, Bildgebung und Spektroskopie","Attosecond X-ray Science, Imaging and Spectroscopy",AXSIS,AXSIS,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,/athena/sinbad,,,,electrons,operation,2019,,/desy,DE,,/accelerator-application/science-application/accelerator-science,,,
/berlin-protonen,01: in preparation,,,Protonentherapie von Augentumoren,Protonentherapie von Augentumoren,BerlinProtonen,BerlinProtonen,"BerlinProtonen ist eine auf die Behandlung von Augentumoren spezialisierte Protonentherapieanlage, die gemeinsam vom Helmholtz-Zentrum Berlin (HZB) und der Charité betrieben wird. Protonenstrahlen mit einer Energie von 68 MeV werden eingesetzt, um Augentumore gezielt zu zerstören und dabei das umliegende gesunde Gewebe zu schonen. Die Erfolgsquote bei der Zerstörung von Augentumoren liegt bei über 97 Prozent. In den meisten Fällen wird das Auge nicht nur gerettet, sondern es bleibt auch ein zufriedenstellendes Sehvermögen erhalten. Seit 1998 wurden in der Einrichtung mehr als 3 700 Patienten behandelt.","BerlinProtonen is a proton therapy facility specialising in the treatment of eye tumours, operated jointly by Helmholtz-Zentrum Berlin (HZB) and Charité. Proton beams with an energy of 68 MeV are used to precisely target and destroy eye tumours while sparing surrounding healthy tissue. The treatment has a success rate of over 97% in destroying eye tumours. In most cases, the eye is not only saved, but a satisfactory level of vision is maintained. More than 3,700 patients have been treated at the facility since 1998.",,,,/facility/accelerator-based-facility/medical-facility/beam-therapy/proton-beam-therapy,ions,operation,1998,,/hzb,DE,,/accelerator-application/medical-application/,,,
/berlin-protonen/cyclotron,01: in preparation,,,Protonentherapie von Augentumoren,Protonentherapie von Augentumoren,BerlinProtonen Sektorzyklotron,BerlinProtonen sector cyclotron,"Als Hauptbeschleuniger nutzt BerlinProtonen ein Sektorenzyklotron mit vier Ablenkmagneten und zwei Hochfrequenzkomponenten für eine schrittweise Energieübertragung. Auf diese Weise erreichen die Protonen eine Endenergie von 68 Millionen Elektronenvolt, was etwa der halben Lichtgeschwindigkeit entspricht.","As the main accelerator, BerlinProtonen uses a sector cyclotron with four bending magnets and two high-frequency components for a stepwise energy transfer. In this way, the protons reach a final energy of 68 million electronvolts, which corresponds to about half the speed of light.",,,/accelerator/cyclotron/sector-cyclotron,,ions,operation,1998,,/hzb,DE,,/accelerator-application/medical-application/,,,
