"id","meta.status","meta.reviewedBy","meta.changelog","meta.parentId","meta.localId","meta.organizationalLevel","meta.befideOrganizationCategories","isPartOfCommunity","label.abbreviatedName.de","label.abbreviatedName.en","label.acronym.de","label.acronym.en","label.fullName.de","label.fullName.en","description.de","description.en","links.homepage.de","links.homepage.en","links.rorId","location.country.code","location.city","location.lat","location.lng"
"/cern","01 in preparation","","","","cern","01 formal-organisation","international","true","CERN","CERN","","","Europäische Organisation für Kernforschung","European Organization for Nuclear Research","","","http://home.web.cern.ch/","http://home.web.cern.ch/","https://ror.org/01ggx4157","CH","Genf","46.202220","6.145690"
"/cfel","01 in preparation","","","","cfel","01 formal-organisation","hgf,university,mpg","true","CFEL","CFEL","","","Center for Free-Electron Laser Science","Center for Free-Electron Laser Science","","","https://www.cfel.de/","https://www.cfel.de/","https://ror.org/04fme8709","DE","Hamburg","53.550730","9.993020"
"/desy","01 in preparation","","","","desy","01 formal-organisation","hgf","true","DESY","DESY","","","Deutsches Elektronen-Synchrotron DESY","Deutsches Elektronen-Synchrotron DESY","","","http://www.desy.de/index_eng.html","http://www.desy.de/index_eng.html","https://ror.org/01js2sh04","DE","Hamburg","53.550730","9.993020"
"/eu-xfel","01 in preparation","","","","eu-xfel","01 formal-organisation","international","true","eu.XFEL","eu.XFEL","","","European XFEL","European X-Ray Free-Electron Laser Facility","","","https://www.xfel.eu","https://www.xfel.eu","https://ror.org/01wp2jz98","DE","Schenefeld","54.050000","9.483330"
"/fair","01 in preparation","","","","fair","01 formal-organisation","international","true","FAIR","FAIR","","","Internationale Beschleuniger-Anlage zur Forschung mit Antiprotonen und Ionen","Facility for Antiproton and Ion Research","","","https://fair-center.de","https://fair-center.eu/","https://ror.org/053veeq82","DE","Darmstadt","49.931389","8.679167"
"/fep","01 in preparation","","","","fep","01 formal-organisation","fraunhofer","true","FEP","FEP","","","Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik FEP","Fraunhofer Institute for Electron Beam and Plasma Technology FEP","","","https://www.fep.fraunhofer.de","https://www.fep.fraunhofer.de","https://ror.org/03vvewn46","DE","Dresden","51.029990","13.782143"
"/fz-juelich","01 in preparation","","","","fz-juelich","01 formal-organisation","hgf","true","FZJ","FZJ","","","Forschungszentrum Jülich","Jülich Research Centre","","","https://www.fz-juelich.de","https://www.fz-juelich.de","https://ror.org/02nv7yv05","DE","Jülich","50.921490","6.362670"
"/gsi","01 in preparation","","","","gsi","01 formal-organisation","hgf","true","GSI","GSI","","","GSI Helmholtzzentrum für Schwerionenforschung","GSI Helmholtz Centre for Heavy Ion Research","","","https://www.gsi.de/start/aktuelles.htm","https://www.gsi.de/start/aktuelles.htm","https://ror.org/02k8cbn47","DE","Darmstadt","49.871670","8.650270"
"/hij","01 in preparation","","","","hij","01 formal-organisation","university,hgf","true","HIJ","HIJ","","","Helmholtz-Institut Jena","Helmholtz Institute Jena","","","https://www.hi-jena.de/en/","https://www.hi-jena.de/en/","https://ror.org/02rzw6h69","DE","Jena","50.934556","11.580699"
"/him","01 in preparation","","","","him","01 formal-organisation","university,hgf","true","HIM","HIM","","","Helmholtz-Institut Mainz","Helmholtz Institute Mainz","","","https://hi-mainz.de","https://hi-mainz.de","https://ror.org/024thra40","DE","Mainz","49.992315","8.238344"
"/hu-berlin","01 in preparation","","","","hu-berlin","01 formal-organisation","university","true","HU Berlin","HU Berlin","","","Humboldt-Universität zu Berlin","Humboldt University of Berlin ","","","https://www.hu-berlin.de/?set_language=en&cl=en","https://www.hu-berlin.de/?set_language=en&cl=en","https://ror.org/01hcx6992","DE","Berlin","52.524370","13.410530"
"/hzb","01 in preparation","","","","hzb","01 formal-organisation","hgf","true","HZB","HZB","","","Helmholtz-Zentrum Berlin für Materialien und Energie","Helmholtz-Zentrum Berlin","","","https://www.helmholtz-berlin.de/","https://www.helmholtz-berlin.de/","https://ror.org/02aj13c28","DE","Berlin","52.524370","13.410530"
"/hzdr","01 in preparation","","","","hzdr","01 formal-organisation","hgf","true","HZDR","HZDR","","","Helmholtz-Zentrum Dresden-Rossendorf","Helmholtz-Zentrum Dresden-Rossendorf","","","https://www.hzdr.de","https://www.hzdr.de","https://ror.org/01zy2cs03","DE","Dresden","51.050890","13.738320"
