id,"Item Type",year,author,title,"Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SAYQNAM5","thesis","2010","Welsch, Dominic Markus","Investigation and optimization of transverse non-linear beam dynamics in the high-energy storage ring HESR","","","","","http://hss.ulb.uni-bonn.de/2010/2082/2082.htm","","2010","2023-02-15 05:36:46","2024-12-10 08:52:14","","","","","","","","","","","","","Universität Bonn","","en","","Doctoral dissertation","","","","","","","","","#gender/male; #university/uni-bonn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MU4HM9YF","thesis","2018","Zheng, Dawei","Efficient algorithms for the fast computation of space charge effects caused by charged particles in particle accelerators","","","","","https://doi.org/10.18453/rosdok_id00002019","","2018","2023-02-15 05:36:46","2024-12-11 03:47:36","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#gender/male; #university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP7RAZNJ","thesis","2012","Rudolph, Jenniffa","Instruments and techniques for analysing the time-resolved transverse phase space distribution of high-brightness electron beams","","","","","https://doi.org/10.18453/rosdok_id00001106","","2012","2023-02-15 05:36:46","2024-12-11 03:47:36","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYNGEVE7","thesis","2018","Reimann, Franziska","Dielectrically lined rectangular waveguides as wakefield based dechirper structures","","","","","https://doi.org/10.18453/rosdok_id00002394","","2018","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NA6SUEP","thesis","2014","Markovik, Aleksandar","Simulation of the interaction of positively charged beams and electron clouds","","","","","https://doi.org/10.18453/rosdok_id00001279","","2014","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#gender/male; #university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAFNAZ4R","thesis","2018","Heller, Johann","Numerical simulation of electromagnetic fields in complex multi-cavity superconducting radio frequency resonators","","","","","https://doi.org/10.18453/rosdok_id00002402","","2018","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#gender/male; #university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HFR5HYC","thesis","2015","Flisgen, Thomas","Compact state-space models for complex superconducting radio-frequency structures based on model order reduction and concatenation methods","","","","","http://cds.cern.ch/search?p=CERN-ACC- 2015-0145","@en: The modeling of large chains of superconducting cavities with couplers is a challeng- ing task in computational electrical engineering. The direct numerical treatment of these structures can easily lead to problems with more than ten million degrees of freedom. Problems of this complexity are typically solved with the help of parallel programs running on supercomputing infrastructures. However, these infrastructures are expensive to purchase, to operate, and to maintain. The aim of this thesis is to introduce and to validate an approach which allows for modeling large structures on a standard workstation. The novel technique is called State-Space Concatena- tions and is based on the decomposition of the complete structure into individual segments. The radio-frequency properties of the generated segments are described by a set of state-space equations which either emerge from analytical considera- tions or from numerical discretization schemes. The model order of these equations is reduced using dedicated model order reduction techniques. In a final step, the reduced-order state-space models of the segments are concatenated in accordance with the topology of the complete structure. The concatenation is based on alge- braic continuity constraints of electric and magnetic fields on the decomposition planes and results in a compact state-space system of the complete radio-frequency structure. Compared to the original problem, the number of degrees of freedom is drastically reduced, i.e. a problem with more than ten million degrees of freedom can be reduced on a standard workstation to a problem with less than one thousand degrees of freedom. The final state-space system allows for determining frequency- domain transfer functions, field distributions, resonances, and quality factors of the complete structure in a convenient manner. This thesis presents the theory of the state-space concatenation approach and discusses several validation and application examples. The examples show that the resulting compact state-space models accu- rately describe the radio-frequency properties of the full structure and that the error introduced by the model order reduction and the concatenation of the segments is smaller than the error arising from the numerical treatment of the segments. In conclusion, the state-space concatenation scheme enables the investigation of radio- frequency properties of large structures without the application of supercomputers. @de: Die Modellierung von Ketten supraleitender Hohlraumresonatoren mit Kopplern ist eine anspruchsvolle Aufgabe der rechnergest¨ utzten Elektrotechnik. Die direk- te numerische Behandlung solcher Strukturen f¨ uhrt zu Problemen mit mehr als zehn Millionen Freiheitsgraden. Probleme dieser Komplexit¨ at lassen sich typischer- weise nur mit Hilfe paralleler Programme l¨ osen, die auf modernen Hochleistungs- rechnern ausgef¨ uhrt werden. Hochleistungsrechner sind allerdings teuer in der An- schaﬀung, im Betrieb und in der Wartung. Das Ziel der vorliegenden Arbeit ist die Einf¨ uhrung und die Validierung eines neuartigen Verfahrens, das die Modellierung von großen und komplexen Hochfrequenzstrukturen auf einem Arbeitsplatzrechner erm ¨ oglicht. Das neuartige Verfahren tr¨ agt den englischen Namen State-Space Con- catenations und basiert auf der Zerlegung der Gesamtstruktur in einzelne Segmen- te. Die Hochfrequenzeigenschaften der Einzelsegmente werden dabei durch einen Satz von Zustandsmodellen beschrieben. Je nach Geometrie der Segmente werden deren Zustandsmodelle entweder durch kontinuierliche oder diskrete Verfahren er- stellt. In einem folgenden Schritt wird die Modellordnung der Zustandsmodelle mit Hilfe von entsprechenden Techniken reduziert. Abschließend werden die reduzier- ten Zustandsmodelle der Segmente gem¨ aß der Topologie der Gesamtstruktur zu einem Zustandsmodell verk¨ upft. Diese Verkettung basiert auf algebraisch formu- lierten Kontinuit¨ atsbedingungen f¨ ur das elektrische und das magnetische Feld an den Schnittfl¨ achen und liefert ein kompaktes Zustandsmodell der Gesamtstruktur. Im Vergleich zum Ursprungsproblem ist die Anzahl der Freiheitsgrade dieses Zu- standsmodells erheblich reduziert. Ein Problem mit zehn Millionen Freiheitsgra- den kann auf einem Arbeitsplatzrechner zu einem Problem mit weniger als tau- send Freiheitsgraden zur¨ uckgef¨ uhrt werden. Das erstellte Zustandsmodell erm¨ oglicht die schnelle Berechnung von Hochfrequenzeigenschaften der Gesamtstruktur, zum ¨ Beispiel Ubertragungsfunktionen im Frequenzbereich, Feldverteilungen, Resonan- zen und G¨ uten. Die vorliegende Arbeit beschreibt die Theorie der Methode der Verkopplung von Zustandsmodellen und diskutiert Validierungs- und Anwendungs- beispiele. Die Beispiele zeigen, dass die erzeugten kompakten Zustandsmodelle die Hochfrequenzeigenschaften der Gesamtstruktur pr¨ azise widerspiegeln. Der Fehler durch die Modellordnungsreduktion und die Verkn¨ upfung ist geringer als der durch die Diskretisierung der Einzelsegmente enstandene Fehler. Abschließend l¨ asst sich feststellen, dass die Methode der Verkopplung von Zustandsmodellen die Untersu- chung von Hochfrequenzeigenschaften komplexer Strukturen ohne den Einsatz von Hochleistungsrechnern erlaubt.","2015","2023-02-15 05:36:46","2024-12-11 03:48:01","","","166","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","degree: Dr.-Ing.","","","","#gender/male; #university/uni-rostock; #accelerating-techniques/srf-structures; #degree/dr.ing.; #research-method/numerical-methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDETX9ML","thesis","2018","Brackebusch, Korinna","Perturbative methods for the computation of resonant cavity eigenmodes subject to geometric variations","","","","","https://doi.org/10.18453/rosdok_id00002062","","2018","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4GZMPY6","thesis","2018","Beck, Mario","Numerical and experimental studies to model and reduce the impedance in the CERN Super Proton Synchrotron (SPS)","","","","","https://doi.org/10.18453/rosdok_id00002494","","2018","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","en","","Doctoral dissertation","","","","","","","","","#university/uni-rostock; #facility/sps; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYSTPP44","thesis","2012","Arnold, André́","Simulation und Messung der Hochfrequenzeigenschaften einer supraleitenden Photo-Elektronenquelle","","","","","http://rosdok.uni-rostock.de/resolve/id/rosdok~d~isshab₀000000908","","2012","2023-02-15 05:36:46","2024-12-11 03:47:35","","","","","","","","","","","","","Universität Rostock","","de","","Doctoral dissertation","","","","","","","","","#university/uni-rostock; #degree/dr.ing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
