Name,gender,academicTitle,professorship,year,ref.ipac19.org,link:university,universityDepartment,links:institutes,links:lectures,institutes 2,workingGroups,notes
Andreas Jankowiak,m,Prof. Dr. ,,,88,HU Berlin,Institut für Physik,Institute for Accelerator Physics at HZB,Einführung in die Physik der Teilchenbeschleuniger,"Institute for Accelerator Physics at HZB, Institut für Physik",,
Thorsten Kamps,m,Prof. Dr. ,Beschleunigerphysik - Erzeugung und Charakterisierung von hochbrillanten Elektronenstrahlen,,103,HU Berlin,Institut für Physik,Institute for Accelerator Physics at HZB,Einführung in die Physik der Teilchenbeschleuniger,"Institute for Accelerator Physics at HZB, Institut für Physik",,
Atoosa Meseck,w,Prof. Dr. ,Beschleunigerphysik – Kollektive Effekte und nichtlineare Strahldynami,,71,Uni Mainz,Institut für Kernphysik,,,,,
Jens Knobloch,m,Prof. Dr. ,,,179,Uni Siegen,Department Physik,,"Einführung in die Beschleunigerphysik II,Einführung in die Beschleunigerphysik I",,Beschleunigerphysik Uni Siegen,
Florian Hug,m,Jun.-Prof. Dr. ,Junior Professor (W1) for Accelerator Physics,2015,77,Uni Mainz, Institut für Kernphysik,, Höhere Beschleunigerphysik,,,
Kurt Aulenbacher,m,Univ.-Prof. Dr. ,,,165,Uni Mainz, Institut für Kernphysik,,Spezielle Probleme der Beschleunigerphysik ,,,
Wolfgang Hillert,m,Prof. Dr. ,,,92,Uni Hamburg,Institut für Experimentalphysi,,"Beschleunigerphysik I,Beschleunigerphysik II,Proseminar Theorie und Praxis moderner Beschleuniger,FEL-Seminar,Seminar zur Beschleunigerphysik",,,
 Florian Grüner,m,Prof. Dr. ,,,6,Uni Hamburg,Institut für Experimentalphysi,, Physik und Anwendungen von Laser-Plasma-Beschleunigern,,,
Oliver Boine-Frankenheim,m,Prof. Dr., für Beschleunigerphysik,,103,TU Darmstadt,Fachbereich Elektrotechnik und Informationstechnik / Institut für Theorie Elektromagnetischer Felder,,"Beschleunigerphysik,Simulation von Strahldynamik und elektromagnetischen Feldern in Teilchenbeschleunigern",,,
Harald Klingbeil,m,Prof. Dr.-Ing. ,für Beschleunigertechnik,,50,TU Darmstadt,Fachbereich Elektrotechnik und Informationstechnik / Institut für Theorie Elektromagnetischer Felder,,Projektseminar Beschleunigertechnik,,,
Norbert Pietralla,m,Prof. Dr. Dr. h.c. mult.,,,74,TU Darmstadt, Institut für Kernphysik,,"Seminar zur Beschleunigerphysik und Technik,Seminar Physik und Technik von Beschleunigern",,,
Joachim Enders,m,Prof. Dr. ,,,40,TU Darmstadt,,,,,,
Anke Susanne Müller,w,Prof. Dr. ,Professor for Accelerator Physics,,59,KIT,,,"Beschleunigerphysik I,Hauptseminar: Moderne Teilchenbeschleuniger und Forschung mit Photonen,Beschleunigerphysik II",,,
Ursula van Rienen,w,Prof. Dr. rer. nat. habil. ,für theoretische Elektrotechnik,1997,,Uni Rostock, Fakultät für Informatik und Elektrotechnik / ,,,,,
Peter Michel,m,Prof. Dr. rer. nat.,für Beschleunigertechnologie,2017,,Uni Rostock,,,Beschleunigertechnologie und Strahldiagnose,,,
Thomas Weis,m,Prof. Dr. ,Lehrstuhl für Beschleunigerphysik,,87,TU Dortmund,Fakultät Physik,,"""Beschleunigerphysik und Synchrotronstrahlung, Anwendungen in der Festkörperphysik""",,,
Shaukat Khan,m,Prof. Dr. ,Lehrstuhl für Beschleunigerphysik,,123,TU Dortmund,Fakultät Physik,,"Beschleunigerphysik I,Beschleunigerphysik II",,,
Andreas Lehrach,m,Prof. Dr. habil.,,,63,RWTH Aachen,III. Physikalisches Institut B: Particle Physics,,"Introduction to Accelerator Physics,Master's Seminar Accelerator Physics",,,S-Prof Jülich
Jörg Pretz,m,Prof. habil.,,,4,RWTH Aachen,III. Physikalisches Institut B: Particle Physics,,,,,
Mei Bai,w,Prof. Dr.,,,,Uni Bonn,,,,,,
Holger Podlech,m,Prof. Dr. ,,,,Uni Frankfurt,Institut für Angewandte Physik,,,,,
Ulirch Ratzinger,m,Prof. Dr. ,,,,Uni Frankfurt,Institut für Angewandte Physik,,"Linearbeschleuniger,Beschleunigerseminar ,Ringbeschleuniger und Speicherringe,Prosemniar: Hochleistungsbeschleuniger und deren Anwendungen    ",,,
Wolfram Helml,m,Jun.-Prof. Dr.,Lehrstuhl für Beschleunigerphysik,,1,TU Dortmund,Fakultät Physik,,"Beschleunigerphysik I,Beschleunigerphysik II",,,
Herbert De Gersem,m,Prof. Dr.-Ing.,Direktor des Instituts für Teilchenbeschleunigung und Elektromagnetische ,,,TU Darmstadt,,,Seminar Physik und Technik von Beschleunigern,,,
Thomas Cowan,m,Prof. Dr.,,,12,TU Dresden,,Institut für Kern- und Teilchenphysik,,,,
Ullrich Schramm,m,,,,23,TU Dresden,,,,,,
Malte C. Kaluza,m,Prof. Dr.,,,,Uni Jena,,Institut für Optik und Quantenelektronik,,,,
Thomas Stöhlker,m, Prof. Dr. ,,,,Uni Jena,,,,,,
Stephan Fritzsche,m, Prof. Dr. ,,,,Uni Jena,,elativistic Quantum Dynamics of Ions and Beams,,,,
Gerhard Paulus,m, Prof. Dr. ,,,,Uni Jena,,,,,,
