Name,targetAudience,type,lecture__sws,exercises__sws,lab__sws,seminar__sws,sws,WiSe,SoSe,link:university,university,link:professors,url
Einführung in die Physik der Teilchenbeschleuniger,MsC,Vorlesung / lecture,2,0,2,0,4,checked,checked,HU Berlin,HU Berlin,"Andreas Jankowiak,Thorsten Kamps",https://agnes.hu-berlin.de/lupo/rds?state=verpublish&status=init&vmfile=no&publishid=167294&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
Beschleunigerphysik I,MsC,lecture / exercises / lab,4,0,1,0,5,checked,,KIT,KIT,Anke Susanne Müller,
Beschleunigerphysik II,MsC,lecture / exercises / lab,1,0,1,0,2,,checked,KIT,KIT,Anke Susanne Müller,
Hauptseminar: Moderne Teilchenbeschleuniger und Forschung mit Photonen,,seminar,0,0,0,2,2,,,KIT,KIT,Anke Susanne Müller,https://campus.studium.kit.edu/events/search.php#!campus/all/event.asp?gguid=0x7A04BB1D12824A1396B907F69BED7785
Introduction to Accelerator Physics,,lecture / exercises / lab,2,1,2,0,5,checked,,RWTH Aachen,RWTH Aachen,Andreas Lehrach,
Master's Seminar Accelerator Physics,,seminar,0,0,0,2,2,checked,,RWTH Aachen,RWTH Aachen,Andreas Lehrach,
Beschleunigerphysik,,lecture / exercises / lab,2,0,0,0,2,checked,checked,TU Darmstadt,TU Darmstadt,Oliver Boine-Frankenheim,"https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000610,-N0,-N373084167488587,-N373084167404588,-N0,-N0,-N0"
Simulation von Strahldynamik und elektromagnetischen Feldern in Teilchenbeschleunigern,MsC,lecture / exercises / lab,2,0,0,0,2,,checked,TU Darmstadt,TU Darmstadt,Oliver Boine-Frankenheim,
Seminar zur Beschleunigerphysik und Technik,MsC,seminar,0,0,0,1,1,,checked,TU Darmstadt,TU Darmstadt,Norbert Pietralla,"https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000610,-N0,-N373084160987378,-N373084160902379,-N0,-N0,-N0"
Seminar Physik und Technik von Beschleunigern,MsC,seminar,0,0,0,1,1,checked,,TU Darmstadt,TU Darmstadt,"Norbert Pietralla,Herbert De Gersem","https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000601,-N0,-N371254096109012,-N371254096117013,-N0,-N0,-N0"
Projektseminar Beschleunigertechnik,,seminar,0,0,0,4,4,,,TU Darmstadt,TU Darmstadt,Harald Klingbeil,"https://www.tucan.tu-darmstadt.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000335,-N0,-N373084168651854,-N373084168665855,-N0,-N0,-N3,-ArgoNxvNAOBUS4z6fQYU0vflAYzLvHdRjOz5-3kNjQDA-YzUBcf6IRuo-P-5-CWWdOfRMYIRECWH-Rj7NVqRa7dG0CuRUHfPKmYAKrMiNxgUv7YFFVMHZVoidmofjWjUlcIpSPUit7jpXQfAVvgp8fjR8O-HKvDWv7QobczRa4IRb7MoHvqPkeZoqcqR3mYWUcYP0fvZ7voKpfUP6YuAh4Mm8xoUvRfwjHuRIVz7-QZmBCWRkVSPzfZHl4WP-4zejRgej7NAlHIopODRNmYHwOUH0PWLjfSAgmDPEfSPEczAuvYoXHzmNP-HTWdH5QMLQmSnAWNGhQf50HDAzOZUw7DlZcDLKHq6keDHgOzLhOUftYQHZYQiFmzHZeDfFHoUYOYUMWNWXQfKoHDc-YBW0xZovPtZWQjKKOQLAfq5TvfH5HYPFQNVwPQ58Vqf6cMUD3WHWVdWNvtZq7-U-vj5PWfU6xopxYSU-YM7NRQpY7ZPVVfPWPZKeHWoBWo5xRu7tOg5vxDGbxglwOWHt4UWMP-oDmMoHRuateq5l4uWemSPUvBy9WQWNvu5oVUU-xZRIrq26YQRUHIWvONmxeDmaOSUVfSUh3BGPYSHFcB2wVWp8WzUbRuFAOZpecg5yHYozfgUe4gmqYfwHQdRPCWRZVoRBPdol4fKAWuWBmSmpcZLoRqcwRZmE4DouvYDFHglAxq68HqRIYgmC7QmxWgLkOYAyxuAbeqRhV-pXxNWJOULfRbZVVuAmWNNjcWUE7NGu"
Beschleunigerphysik I,,Vorlesung,2,1,1,1,5,checked,,TU Dortmund,TU Dortmund,"Shaukat Khan,Wolfram Helml",
Beschleunigerphysik II,,Vorlesung,2,1,1,1,5,,checked,TU Dortmund,TU Dortmund,"Shaukat Khan,Wolfram Helml",https://www.lsf.tu-dortmund.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=209674&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung
"Beschleunigerphysik und Synchrotronstrahlung, Anwendungen in der Festkörperphysik",,seminar,0,0,0,2,2,checked,checked,TU Dortmund,TU Dortmund,Thomas Weis,
Linearbeschleuniger,,lecture / exercises / lab,2,1,0,0,3,,,Uni Frankfurt,Uni Frankfurt,Ulirch Ratzinger,
Beschleunigerseminar ,,tutorial/exercises,0,0,0,2,2,,,Uni Frankfurt,Uni Frankfurt,Ulirch Ratzinger,
Ringbeschleuniger und Speicherringe,,lecture / exercises / lab,2,1,0,0,3,,,Uni Frankfurt,Uni Frankfurt,Ulirch Ratzinger,
Prosemniar: Hochleistungsbeschleuniger und deren Anwendungen    ,,seminar,0,0,0,1,1,,,Uni Frankfurt,Uni Frankfurt,Ulirch Ratzinger,
 Physik und Anwendungen von Laser-Plasma-Beschleunigern,,lecture / exercises / lab,2,2,0,0,4,checked,checked,Uni Hamburg,Uni Hamburg, Florian Grüner,
Beschleunigerphysik I,,lecture / exercises / lab,2,2,0,0,4,checked,,Uni Hamburg,Uni Hamburg,Wolfgang Hillert,https://www.physik.uni-hamburg.de/forschung/institute/iexp/forschung/gruppe-hillert/lehre/beschleunigerphysik-1.html
Beschleunigerphysik II,,lecture / exercises / lab,2,2,0,0,4,,checked,Uni Hamburg,Uni Hamburg,Wolfgang Hillert,https://www.physik.uni-hamburg.de/forschung/institute/iexp/forschung/gruppe-hillert/lehre/beschleunigerphysik-2.html
Proseminar Theorie und Praxis moderner Beschleuniger,,seminar,0,0,0,2,2,checked,checked,Uni Hamburg,Uni Hamburg,Wolfgang Hillert,
FEL-Seminar,,seminar,0,0,0,2,2,checked,checked,Uni Hamburg,Uni Hamburg,Wolfgang Hillert,
Seminar zur Beschleunigerphysik,,seminar,0,0,0,2,2,checked,checked,Uni Hamburg,Uni Hamburg,Wolfgang Hillert,
 Höhere Beschleunigerphysik,MsC,lecture / exercises / lab,2,2,0,0,4,checked,checked,Uni Mainz,Uni Mainz,Florian Hug,"https://jogustine.uni-mainz.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N001189,-N0,-N372876936823596,-N372876936891597,-N0,-N0,-N0"
Spezielle Probleme der Beschleunigerphysik ,MsC,seminar,0,0,0,2,2,checked,checked,Uni Mainz,Uni Mainz,Kurt Aulenbacher,
Beschleunigertechnologie und Strahldiagnose,"M.Sc. Elektrotechnik, M.Sc. Physik",lecture / exercises / lab,3,1,0,0,4,,checked,Uni Rostock,Uni Rostock,Peter Michel,https://www.iae.uni-rostock.de/en/study/masters-courses/beschleunigertechnologie-und-strahldiagnose/
Einführung in die Beschleunigerphysik II,,Vorlesung,2,0,0,0,2,,checked,Uni Siegen,Uni Siegen,Jens Knobloch,https://unisono.uni-siegen.de:443/qisserver/pages/startFlow.xhtml?_flowId=detailView-flow&unitId=41966&periodId=188
Einführung in die Beschleunigerphysik I,,Vorlesung,2,0,0,0,2,checked,,Uni Siegen,Uni Siegen,Jens Knobloch,
