Name,professors,lectures,offersTeaching,affiliations
HU Berlin,"Andreas Jankowiak,Thorsten Kamps",Einführung in die Physik der Teilchenbeschleuniger,1,hu-berlin
KIT,Anke Susanne Müller,"Beschleunigerphysik I,Beschleunigerphysik II,Hauptseminar: Moderne Teilchenbeschleuniger und Forschung mit Photonen",1,
RWTH Aachen,"Andreas Lehrach,Jörg Pretz","Introduction to Accelerator Physics,Master's Seminar Accelerator Physics",1,rwth-aachen
TU Darmstadt,"Oliver Boine-Frankenheim,Harald Klingbeil,Norbert Pietralla,Joachim Enders,Herbert De Gersem","Projektseminar Beschleunigertechnik,Seminar Physik und Technik von Beschleunigern,Seminar zur Beschleunigerphysik und Technik,Beschleunigerphysik,Simulation von Strahldynamik und elektromagnetischen Feldern in Teilchenbeschleunigern",1,tu-darmstadt
TU Dortmund,"Shaukat Khan,Thomas Weis,Wolfram Helml","Beschleunigerphysik I,Beschleunigerphysik II,""Beschleunigerphysik und Synchrotronstrahlung, Anwendungen in der Festkörperphysik""",1,tu-dortmund
TU Dresden,"Thomas Cowan,Ullrich Schramm",,0,tu-dresden
Uni Bonn,Mei Bai,,0,
Uni Frankfurt,"Holger Podlech,Ulirch Ratzinger","Linearbeschleuniger,Beschleunigerseminar ,Ringbeschleuniger und Speicherringe,Prosemniar: Hochleistungsbeschleuniger und deren Anwendungen    ",1,uni-frankfurt
Uni Hamburg,"Wolfgang Hillert, Florian Grüner","Beschleunigerphysik I,Beschleunigerphysik II,Proseminar Theorie und Praxis moderner Beschleuniger,FEL-Seminar,Seminar zur Beschleunigerphysik, Physik und Anwendungen von Laser-Plasma-Beschleunigern",1,
Uni Jena,"Malte C. Kaluza,Thomas Stöhlker,Stephan Fritzsche,Gerhard Paulus",,0,
Uni Mainz,"Atoosa Meseck,Florian Hug,Kurt Aulenbacher"," Höhere Beschleunigerphysik,Spezielle Probleme der Beschleunigerphysik ",1,
Uni Rostock,"Ursula van Rienen,Peter Michel",Beschleunigertechnologie und Strahldiagnose,1,uni-rostock
Uni Siegen,Jens Knobloch,"Einführung in die Beschleunigerphysik II,Einführung in die Beschleunigerphysik I",1,uni-siegen
