name,longTitle,shortTitle,lng,lat,description,type,university,professors (from universities),professorCount,scientistCount,doctoralStudentCount,technicianCount,masterStudentCount,Intervention Opportunities,professorships,professors copy,facilities,professorships 2,professorships 3,teaching,teaching copy,universityCourses,researchGroups
hu-berlin,Humboldt-Universität zu Berlin,HU Berlin,13.5333040,52.4321220,,university,,,2,,,,,,Institute for Accelerator Physics at HZB,"Institute for Accelerator Physics at HZB, Institut für Physik",,,"jankowiak-andreas,kamps-thorsten","hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__vorlesung,hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__übung,hu-berlin__ss24__das-1x1-der-beschleunigerphysik__seminar,hu-berlin__ss24__das-1x1-der-beschleunigerphysik__tutorium","hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__vorlesung, hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__übung, hu-berlin______","""Physik, Master of Science""",Unnamed record
rwth-aachen,Rheinisch-Westfälische Technische Hochschule Aachen,RWTH Aachen,6.0599110,50.7788560,,university,RWTH Aachen,"""Lehrach, Andreas"", ""Pretz, Jörg""",2,,,,,,,,,,"lehrach-andreas,pretz-jörg","rwth-aachen____introduction-to-accelerator-physics__vorlesung,rwth-aachen____master's-seminar-accelerator-physics__seminar","rwth-aachen______vorlesung, rwth-aachen______seminar",Masterstudiengang Physik,
tu-darmstadt,Technische Universität Darmstadt,TU Darmstadt,8.6569440,49.8750000,,university,TU Darmstadt,"""Boine-Frankenheim, Oliver"", ""Klingbeil, Harald"", ""Pietralla, Norbert"", ""Enders, Joachim"", ""De Gersem, Herbert"", ""Markus, Roth""",5,,,,,,,,s-dalinac,,"boine-frankenheim-oliver,de gersem-herbert,enders-joachim,klingbeil-harald,markus-roth,pietralla-norbert","tu-darmstadt____beschleunigerphysik__,tu-darmstadt____angewandte-supraleitung__,tu-darmstadt____plasmaphysik__,tu-darmstadt____-numerische-methoden-der-beschleunigerphysik-__,tu-darmstadt____seminar-zur-beschleunigerphysik-und-technik__seminar,tu-darmstadt____seminar-physik-und-technik-von-beschleunigern__seminar,tu-darmstadt____projektseminar-beschleunigertechnik__seminar","tu-darmstadt______, tu-darmstadt______, tu-darmstadt______, tu-darmstadt______, tu-darmstadt______seminar, tu-darmstadt______seminar, tu-darmstadt______seminar","Physik (Master of Science),Masterstudiengangs „Accelerator Science",
tu-dortmund, Technische Universität Dortmund,TU Dortmund,7.4142670,51.4924610,,university,TU Dortmund,"""Khan, Shaukat"", ""Vélez Saiz, Adolfo "", ""Helml, Wolfram""",3,,,,,,,,delta,,"helml-wolfram,khan-shaukat,vélez saiz-adolfo ","tu-dortmund____beschleunigerphysik-i__,tu-dortmund____beschleunigerphysik-ii__,""tu-dortmund____beschleunigerphysik-und-synchrotronstrahlung,-anwendungen-in-der-festkörperphysik__seminar""","tu-dortmund______, tu-dortmund______, tu-dortmund______seminar","Masterstudiengang Physik,Master Medizinphysik",
tu-dresden, Technische Universität Dresden,TU Dresden,13.7266670,51.0280560,,university,TU Dresden,"""Cowan, Thomas"", ""Schramm, Ullrich""",2,,,,,,,,,,"schramm-ullrich,cowan-thomas",,,,
uni-duesseldorf,Heinrich-Heine-Universität Düsseldorf ,Uni Düsseldorf,6.7941670,51.1902780,,university,,,,,,,,,,,,,,,,,
uni-frankfurt, Johann Wolfgang Goethe-Universität Frankfurt am Main,Uni Frankfurt am Main,8.6513890,50.1194440,,university,Uni Frankfurt,"""Podlech, Holger"", ""Ratzinger, Ulirch"", ""Franchetti , Giuliano""",2,,,,,,,,franz,,"franchetti-giuliano,podlech-holger,ratzinger-ulirch","uni-frankfurt____linearbeschleuniger__,uni-frankfurt____beschleunigerseminar-__,uni-frankfurt____ringbeschleuniger-und-speicherringe__,uni-frankfurt____prosemniar:-hochleistungsbeschleuniger-und-deren-anwendungen----__seminar","uni-frankfurt______, uni-frankfurt______, uni-frankfurt______, uni-frankfurt______seminar","Master-Studiengang Physik,Masterstudiengangs „Accelerator Science",
uni-hamburg,Universität Hamburg,Uni Hamburg,9.9838890,53.5669440,,university,,,2,,,,,,,,,,"hillert-wolfgang,grüner-florian","uni-hamburg____-physik-und-anwendungen-von-laser-plasma-beschleunigern__,uni-hamburg____beschleunigerphysik-i__,uni-hamburg____beschleunigerphysik-ii__,uni-hamburg____proseminar-theorie-und-praxis-moderner-beschleuniger__seminar,uni-hamburg____fel-seminar__seminar,uni-hamburg____seminar-zur-beschleunigerphysik__seminar","uni-hamburg______, uni-hamburg______, uni-hamburg______, uni-hamburg______seminar, uni-hamburg______seminar, uni-hamburg______seminar",,
uni-jena,,Uni Jena,11.5894440,50.9294440,,university,,,,,,,,,,,jeti,,"fritzsche-stephan,kaluza-malte c.,paulus-gerhard,stöhlker-thomas",,,,
uni-mainz,Johannes Gutenberg-Universität Mainz,Uni Mainz,8.2416670,49.9930560,,university,,,3,,,,,,,,"mami,mesa",,"aulenbacher-kurt,hug-florian,meseck-atoosa","uni-mainz____-höhere-beschleunigerphysik__,uni-mainz____spezielle-probleme-der-beschleunigerphysik-__seminar","uni-mainz______, uni-mainz______seminar","Master of Science Physik,Masterstudiengangs „Accelerator Science",
