id	type	label	name__en	name__de	head	professors	senior_scientists	post_docs	doctorands	msc_students	bsc_students
bfde	Community	BFDE				0	0	0	0	0	0
bfde.kit	University / Universität	KIT	KIT			0	0	0	0	0	0
bfde.kit.ibpt	Institute / Institut	IBPT	Institute for Beam Physics and Technology		Prof. Dr. rer. nat. Anke-Susanne Müller	1	0	0	0	0	0
bfde.kit.ibpt.ardop1	Department / Abteilung	ARD+Op1	Accelerator Research and Development + Operations I	Beschleuniger-Forschung und -Entwicklung + Betrieb I	Prof. Dr. rer. nat. Matthias Fuchs	1	1	0	0	0	0
bfde.kit.ibpt.ardop1.accelerators	Group / Gruppe	Accs	Accelerators	Bechleuniger		0	1	0	0	0	0
bfde.kit.ibpt.ardop1.facilities	Team	Facs	Facilities	Anlagen		0	2	2	1	0	0
bfde.kit.ibpt.ardop1.bdt	Team	BDT	Beam Dynamics & Theory 	Strahldynamik & Theorie		0	1	1	5	0	0
bfde.kit.ibpt.ardop1.ci	Team	CI	Controls & Instrumentation	Steuerung & Instrumente		0	1	0	0	0	0
bfde.kit.ibpt.ardop1.thzir	Group / Gruppe	ThZIR	Applications THz/IR 	THz/IR-Anwendungen		0	1	2	0	0	0
bfde.kit.ibpt.ardop2	Department / Abteilung	ARD+Op2	Accelerator Research and Development + Operations II	Beschleuniger-Forschung und -Entwicklung + Betrieb II		0	1	0	0	0	0
bfde.kit.ibpt.ardop2.it	Group / Gruppe	IT	IT	IT		0	1	0	0	0	0
bfde.kit.ibpt.ardop2.aac	Group / Gruppe	AAC	Advanced Accelerator Concepts 	Neue Beschleunigerkonzepte		0	1	1	1	0	0
bfde.kit.ibpt.ardop2.id	Group / Gruppe	ID	Insertion Devices	Insertion Devices	Prof. Dr.-Ing. Steffen Grohmann	0.25	4	0	0	0	0
bfde.kit.ibpt.ardop2.drd	Group / Gruppe	DRD	Diagnosis R&D	Diagnose R&D		0	1	0	0	0	0
bfde.kit.ibpt.ardop2.drd.funkner	Team	FNKR				0	1	0	1	0	0
bfde.kit.ibpt.ardop2.drd.gethmann	Team	GTHMNN				0	0	1	0	0	0
bfde.kit.ibpt.ardop2.drd.nasse	Team	NSS				0	1	0	1	0	0
bfde.kit.ibpt.ardop2.drd.niehues	Team	NHS				0	1	1	1	0	0
bfde.kit.ibpt.ardop2.drd.ai	Team	AI	AI4Accelerators			0	1	0	1	0	0
bfde.kit.ibpt.ardop2.drd.steinmann	Team	STMNN				0	0	1	0	0	0
bfde.kit.ibpt.sst	Research Group / Forschungsgruppe	SST	Superconducting System Technology	Supraleitende Systemtechnologie	Prof. Dr.-Ing. Steffen Grohmann	0.25	0	0	2	1	0
bfde.hzb	Helmholtz Institute	HZB	bfde.hzb	bfde.hzb		0	0	0	0	0	0
bfde.hzb.be	Division / Bereich	BE	Accelerators	Bechleuniger	Prof. Dr. Andreas Jankowiak	0	0	0	0	0	0
bfde.hzb.be.ia	Institute / Institut	IA	Accelerator Operation, Development and Technology - Operation BESSY II / MLS	Beschleuniger - Betrieb, Entwicklung und Technologie	Prof. Dr. Andreas Jankowiak	1	1	0	0	0	0
bfde.hzb.be.ia.ard	Department / Abteilung	ARD	Accelerator Operation and Technology	Beschleunigerforschung und -entwicklung	Prof. Dr. Andreas Jankowiak	0	0	0	0	0	0
bfde.hzb.be.ia.srbp	Department / Abteilung	SRBP	Storage Rings and Beam Physics	Speicherringe und Strahlphysik	Dr. Markus Ries	0	1	0	0	0	0
bfde.hzb.be.ia.aot	Department / Abteilung	AOT	Accelerator Operation and Technology	Beschleunigerbetrieb und -technologie	Dr. Andreas Schälicke	0	0	0	0	0	0
bfde.hzb.be.ias	Institute / Institut	IAS	Science and Technology of Accelerating Systems	Wissenschaft und Technologie von Beschleunigungssystemen	Prof. Dr. Jens Knobloch	2	1	2	5	0	0
bfde.hzb.be.ahbb	Department / Abteilung	HBB	High Brightness Beams	Hochbrillante Elektonenstrahlen	Prof. Dr. Thorsten Kamps	1	1	1	5	0	0
bfde.hzb.be.apt	Department / Abteilung	PT	Protons for Therapy	Protonentherapie	Prof. Dr. Andrea Denker	1	2	0	1	0	0
bfde.hzb.wi	Division / Bereich	WI	Scientific Instrumentation and Support	Wissenschaftliche Instrumentierung und Unterstützung		0	0	0	0	0	0
bfde.hzb.wi.aund	Department / Abteilung	UND	Undulators	Undulatoren	Prof. Dr. Atoosa Meseck	1	1	2	0	0	0
